data;tmin;tmax;tmed
06/02/2003;29.8;17.4;22.4
07/02/2003;28;17.8;21.9
08/02/2003;29;18.2;21.7
09/02/2003;29.5;18.6;22.5
10/02/2003;26;18.6;21.8
11/02/2003;26;17.2;21.4
12/02/2003;27.8;17.6;21.2
17/10/2003;28.4;7.2;17.6
18/10/2003;30.2;9.4;20
19/10/2003;20.6;11.4;16.8
20/10/2003;25.5;14.8;18.9
21/10/2003;20;15.4;16.6
22/10/2003;22.5;11.4;16
23/10/2003;22.5;8.4;15.2
24/10/2003;24.5;13.4;17.9
25/10/2003;28.8;17.4;21
26/10/2003;21;15.4;17.2
27/10/2003;20;13.6;16.3
28/10/2003;21.4;13.4;17.2
29/10/2003;23;13;17.8
30/10/2003;26.4;14;19.2
31/10/2003;27.5;13.8;20.4
01/11/2003;21;12.4;15.4
02/11/2003;15;11.8;12.6
03/11/2003;21.5;8.2;14.3
04/11/2003;23;9.2;15.3
05/11/2003;22;10.6;15.3
06/11/2003;15.3;12;13.6
07/11/2003;23;12.6;17.4
08/11/2003;27.3;10.8;19.2
09/11/2003;29.5;12;20.7
10/11/2003;30.3;14.2;22.8
11/11/2003;30.6;17.6;24
12/11/2003;33.2;16.4;23.1
13/11/2003;18.2;13.2;15.1
14/11/2003;22.4;6.6;15.4
15/11/2003;24.5;13.4;18.9
16/11/2003;20;16;17.7
17/11/2003;28.2;15.6;20.6
18/11/2003;23.5;16.6;18.3
19/11/2003;23.8;10.8;17
20/11/2003;24.5;8.4;16.6
21/11/2003;24.8;11.2;17.3
22/11/2003;28.4;13;18.8
23/11/2003;30.2;15.8;21.4
24/11/2003;24.8;15.2;19.5
25/11/2003;26.8;15.4;20.2
26/11/2003;23.7;17;20
27/11/2003;23.2;17.4;19.2
28/11/2003;28;14.6;21.2
29/11/2003;28.4;13;20.2
30/11/2003;27.4;11;20
01/12/2003;28;17;21.6
02/12/2003;29.5;15.6;22.2
03/12/2003;29.6;17;23.3
04/12/2003;24;19.6;21
05/12/2003;27;16.6;20.3
06/12/2003;25.2;10.4;17.3
07/12/2003;26.6;11.2;18.9
08/12/2003;23;16.6;19
09/12/2003;21.4;12.6;15.8
10/12/2003;27.2;6;19.1
11/12/2003;28.5;15.2;19.4
12/12/2003;24.2;14.2;18.8
13/12/2003;19.5;15.2;16.9
14/12/2003;22;15;19.2
15/12/2003;27.5;19.4;22.3
16/12/2003;21.4;16.4;18
17/12/2003;18.7;9.4;14.6
18/12/2003;23.7;13.4;17.8
19/12/2003;20.4;15.2;18.1
20/12/2003;21.5;17.5;18.9
21/12/2003;20.7;16;18.5
22/12/2003;21.5;13.2;18.5
23/12/2003;26.4;14.8;19.9
24/12/2003;24.5;14.4;17.9
25/12/2003;24.6;13.8;18.7
26/12/2003;24.4;13.4;18.9
27/12/2003;26.4;16.4;20.6
28/12/2003;24.5;18.4;21.4
29/12/2003;27.7;17.2;21.5
30/12/2003;26.2;17.4;21.3
31/12/2003;21.5;17.4;19.1
01/01/2004;23.5;15.6;18.4
02/01/2004;25;13.6;18.2
03/01/2004;24.7;13.6;18.1
04/01/2004;24;11.8;18.2
05/01/2004;26;15.6;20.1
06/01/2004;28;17.4;21.1
07/01/2004;26.6;18;20.9
08/01/2004;26.4;17.2;21.1
09/01/2004;28.7;18.6;22.8
10/01/2004;27.5;17.8;22.4
11/01/2004;28.7;18.6;21.7
12/01/2004;26.6;13.4;20.2
13/01/2004;25;16.8;19.6
14/01/2004;25.8;17;20
15/01/2004;26;14.2;20.3
16/01/2004;27.7;13.2;20.8
17/01/2004;28;17.6;20.6
18/01/2004;26.5;16.8;19.4
19/01/2004;25.6;14;18.7
20/01/2004;23;14.6;19.5
21/01/2004;24.2;16.3;21.2
22/01/2004;26.3;18.2;22.2
23/01/2004;27.7;18.4;21.5
24/01/2004;26.2;19.2;21.2
25/01/2004;27;17.2;22
26/01/2004;28;17;22.8
27/01/2004;29;16;21.8
28/01/2004;28.5;19;21.4
29/01/2004;28.5;18.4;20.6
30/01/2004;26.5;16.6;21
31/01/2004;28;16;22
01/02/2004;28.3;16.2;22.2
02/02/2004;29;18.6;22.8
03/02/2004;28.5;18.8;23.1
12/10/2004;23.7;15.6;19.2
13/10/2004;20;16;17.4
14/10/2004;26.2;14.8;19
15/10/2004;20.5;15.2;17.9
16/10/2004;27.2;17;21.9
17/10/2004;22.5;14.2;17.3
18/10/2004;20.4;13.4;15.6
19/10/2004;21.2;13.4;15.4
20/10/2004;22.7;5.8;13.9
21/10/2004;20.2;9.4;14.4
22/10/2004;20.8;12.6;16.6
23/10/2004;20.2;15.2;17.2
24/10/2004;20.4;15.4;17.4
25/10/2004;17.7;9.4;12.2
26/10/2004;23.7;5;14.7
27/10/2004;19.3;7.6;12
28/10/2004;24.6;3.6;14.6
29/10/2004;26.2;6.2;15.5
30/10/2004;30.2;13;23.7
31/10/2004;22.2;14.8;17.8
01/11/2004;22.2;13.8;17.8
02/11/2004;25;15.2;19.4
03/11/2004;29.5;16.4;20.4
04/11/2004;29.4;14.6;21.2
05/11/2004;24.2;15.4;19.8
06/11/2004;19.6;13.2;14.8
07/11/2004;15.6;8.4;12.6
08/11/2004;18.8;11.4;15.4
09/11/2004;20;13.2;17
10/11/2004;17.7;15.6;16.7
11/11/2004;19.5;12.2;15
12/11/2004;19.5;10.6;14.1
13/11/2004;25.4;8.2;15.9
14/11/2004;20.7;12.8;16.7
15/11/2004;18;14.6;15.9
16/11/2004;23.6;15.2;19
17/11/2004;24.8;16.8;19.9
18/11/2004;23.6;8.4;16.1
19/11/2004;22;9;14.8
20/11/2004;23.2;5.4;14.6
21/11/2004;26.6;8.6;17.9
22/11/2004;27.7;13.2;19.5
23/11/2004;28;13.4;19
24/11/2004;28.8;15.8;21.6
